persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1,Webster, Mary Elizabeth, , , , , (b. Worcs. 1839), charity organizer," In the 1891 census she is found at Ripple Lodge, Malvern Link with her younger sister Margaret."
2,Savage, Elizabeth A., , , , , (b. Eling 1836/7), housemaid," In 1891 cook to CMY at Elderfield;  in 1861, 1871 and 1901 working for the ‘Indian Moberlys’."
3,Abraham, Caroline Harriet, , (Palmer), , , (1809/10-1877), missionary to New Zealand," Daughter of Sir Charles Thomas Palmer, 2nd Bt., she married (17 January 1850) the Rt. Rev. Charles John Abraham (1814-1903).  She and Sarah Harriet (Richardson) Selwyn were first cousins. Her sister Mary Anne Palmer was living in 1871 near Mary Anne Dyson at Ewshott in Hants. "
4,Abraham, Charles John, The Rt. Rev., , , , (1814-1903)," 1st Bishop of Wellington, New Zealand, and later Suffragan Bishop of Derby"," He married (1850) Caroline Harriet Palmer (1809/10-1877)[ODNB, WWW]"
5,Acland Troyte,  Frances Lydia Dyke, , , , , (d.1922), daughter of Arthur Acland Troyte," Eldest of the six daughters of Arthur Acland Troyte, sister of Joanna (Acland Troyte) Harper, who was a Gosling as ‘Albatross’, she married (1863) the Rev. Charles Sandford Bere (d. 1889)."
6,Acland Troyte, Arthur Henry Dyke, , , , , (1811-1857), devotional writer," Father of Frances and Joanna Acland Troyte and four other daughters,  brother of Sir Thomas Dyke Acland, 11th Bt. (1809–1898).  He changed his surname to Acland Troyte."
7,Acland, Henry Wentworth,  Sir, , 1st Bt.,  , (1815-1900),  physician, Brother of Arthur Acland Troyte and of Sir Thomas Dyke Acland. [ODNB] 
8,Acland, Sarah Angelina, , , , , (1849-1931),"  photographer, daughter of Sir Henry Wentworth Acland", 
9,Acland, Thomas Dyke, Sir, , 11th Bt., , (1809-1898)," politician and educationist, father of Agnes (Acland) Anson and brother of Arthur Acland Troyte and Sir Henry Wentworth Acland",
10,Adams, , , , , , (fl. 8 March 1854), evidently a humble Devon friend of WCY, 
11,Adams, , Mrs, , ,  ,  (fl. 7 December 1857), probably a parishioner of the Rev. Richard Carter Smith in Woolwich, 
12,Adams, Charles Warren, , , , , (1833-30 July 1903),  animal rights campaigner,"  He married, first (1861), Georgina Alethe Polson (b.1838), daughter of the Rev. Hugh Polson and Georgiana, only child of Charlotte Yonge and her first husband Captain George Crawley, and therefore CMY’s first cousin once removed.  (Mrs Crawley was CMY's aunt and godmother and married secondly the Rev Thomas Jones, Rector of Exeter College Oxford). The Polsons had other children: (Arthur b. 1831/2, George b. 1833/4, Rosalia b.1834/5 and Catharina K. b. 1835/6).  Adams married secondly (24 June 1885), in the teeth of her family, the Hon. Mildred Mary Coleridge (1847-14 January 1929). For his involvement in brawling during a church service at St. George in the East, in defence of the innovations introduced by the vicar, see <i>The Times</i> (11, 14 April 1860). [LG 1952 Woollcombe Adams of Anstey Hall; 1841, 1851, 1861 censuses at www.ancestry.co.uk]"
13,Adams, Georgina Alethe, , (Polson), , , (1838-?1880) ,"first cousin once removed to CMY, first wife of Charles Warren Adams","  <i>The Times</i> (11 January 1862) reported the marriage 'at Cape-town, cape of good Hope, Charles Warren Adams, Esq, son of the late Mr. Serjeant Adams to Georgiana Alethe, youngest daughter of the Rev. Hugh Polson.'  The death of a Georgiana Alethe Adams aged 2 was registered in Fulham in 1880.  According to the <i>Bristol Mercury and Daily Post</i> (24 November 1884) Charles Warren Adams stated in court that he had lived happily with his wife who had died of cancer.  He had always supported his daughter. The refusal of the Bishop of Cape Town to marry them was a mistake, and he had afterwards been reconciled to her family."
