cmy_bookID,title,date,genre_old,genre,category,format,publisher,serialization,illustrator,notes,display_title,sort_title,","
1,"<i>Château de Melville, ou, Recréations du cabinet d’étude, Le</i>",1839,Fiction (modern),Fiction (modern),Fiction,Booklet,"Chez Jacob & Johnson, Impremeurs, a Winchester: et chez Harris, St. Paul\'s Church-yard, a Londres.",NA,NA,"One of CMY’s rarest works, there are copies at Girton College, Cambridge and in the Bodleian Library.  The characters reappear under other names in <i>Scenes and Characters. Although it was printed privately, it seems to have been advertised for sale by Simpkin, who may perhaps have bought what was left of the stock.</i>","Château de Melville, ou, Recréations du cabinet d’étude, Le","Château de Melville, ou, Recréations du cabinet d’étude, Le",
2,"<i>Abbeychurch, or, Self Control and Self Conceit.</i>",1844,Fiction (modern),Fiction (modern),Fiction,Book,"James Burns, Portman Street; London, and Henry Mozley and Sons, Derby.",NA,Unsigned frontispiece,NA,"Abbeychurch, or, Self Control and Self Conceit.","Abbeychurch, or, Self Control and Self Conceit.",
3,"<i>Scenes and Characters, or, Eighteen Months at Beechcroft.</i> By the author of “Abbey Church, or, Self Control and Self Conceit.”",1847,Fiction (modern),Fiction (modern),Fiction,Book,"James Burns, Portman Street; London; Henry Mozley and Sons, Derby.",NA,NA,The Mohun family appear in the later novels <i>Beechcroft at Rockstone </i>and <i>The Two Sides of the Shield.</i>,"Scenes and Characters, or, Eighteen Months at Beechcroft.By the author of “Abbey Church, or, Self Control and Self Conceit.”","Scenes and Characters, or, Eighteen Months at Beechcroft.",
5,"<i>Midsummer Day, or, The Two Churches</i>.",1848,Fiction (modern),Fiction (modern),Fiction,Booklet,"John and Charles Mozley, Paternoster Row, London, and Joseph Masters, New Bond Street, London.",NA,NA,This story was later reprinted in The Christmas Mummers.,"Midsummer Day, or, The Two Churches.","Midsummer Day, or, The Two Churches",
6,<i>Kings of England: A History for Young Children.</i>,1848,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"John and Charles Mozley, Paternoster Row, London, and Joseph Masters, New Bond Street, London.",NA,NA,NA,Kings of England: A History for Young Children.,Kings of England: A History for Young Children.,
7,<i>Harriet and her Sister.</i>,1848,Fiction (modern),Fiction (modern),Fiction,Booklet,"John and Charles Mozley, 6, Paternoster Row, London, and Joseph Masters, 78, New Bond Street, London",NA,One unsigned plate,There are copies in the NLW and Lambeth Palace Library.  It was reprinted in <i>The Christmas Mummers and Other Stories</i> (1876).,Harriet and her Sister.,Harriet and her Sister.,
8,<i>London Pride.</i>,1848,Fiction (modern),Fiction (modern),Fiction,Book,"John and Charles Mozley, 6, Paternoster Row, London, and Joseph Masters, 78, New Bond Street, London",NA,Frontispiece,"Copies in Lambeth Palace Library,  University of Sheffield Library and the University of Delaware Library. It was reprinted in <i>The Christmas Mummers and Other Stories</i> (1876).",London Pride.,London Pride.,
9,<i>Langley School.</i> By the author of “The Kings of England.” Reprinted from the Magazine for the Young.,1850,Fiction,Fiction,Fiction,Book,"John and Charles Mozley, Paternoster Row, London, and Joseph Masters, New Bond Street, London.","Serialized in the <i>Magazine for the Young,</i> Sept. 1846 to Dec. 1848",NA,Twenty-seven Langley stories were published in the <i>Magazine for the Young</i> of which fifteen were reprinted in <i>Langley School.</i>,Langley School.By the author of “The Kings of England.” Reprinted from the Magazine for the Young.,Langley School.,
10,"<i>Kenneth, or, The Rear Guard of the Grand Army</i>. By the author of  “Scenes and Characters,” “Kings of England,” etc.",1850,Fiction (historical),Fiction (historical),Fiction,Book,"John Henry Parker, Oxford and London.",NA,NA,NA,"Kenneth, or, The Rear Guard of the Grand Army. By the author of  “Scenes and Characters,” “Kings of England,” etc.","Kenneth, or, The Rear Guard of the Grand Army",
11,"<i>Henrietta’s Wish, or, Domineering: A Tale.  </i>By the author of  “Scenes and Characters”<i>. </i>",1850,Fiction (modern),Fiction (modern),Fiction,Book,"Joseph Masters, Aldersgate Street, and New Bond Street, London.","Serialized in <i>The Churchman’s Companion</i>, January 1849 to May 1850",Unsigned Frontispiece,NA,"Henrietta’s Wish, or, Domineering: A Tale.  By the author of  “Scenes and Characters”.","Henrietta’s Wish, or, Domineering: A Tale.  ",
