"post_ID","cmy_bookID"
"1778","15"
"1784","38"
"1787","2"
"1793","20"
"1793","38"
"1794","37"
"1794","38"
"1796","27"
"1796","37"
"1799","37"
"1801","88"
"1806","37"
"1808","37"
"1810","43"
"1810","57"
"1812","21"
"1812","37"
"1812","48"
"1812","56"
"1814","48"
"1819","20"
"1824","38"
"1824","43"
"1826","43"
"1828","48"
"1829","24"
"1829","102"
"1832","38"
"1832","48"
"1833","48"
"1836","24"
"1840","102"
"1841","43"
"1843","43"
"1847","24"
"1847","53"
"1848","48"
"1854","53"
"1856","45"
"1858","43"
"1859","43"
"1862","24"
"1862","102"
"1865","43"
"1867","45"
"1874","48"
"1880","48"
"1884","53"
"1885","102"
"1887","43"
"1890","53"
"1894","43"
"1894","57"
"1900","102"
"1901","48"
"1905","15"
"1905","19"
"1905","58"
"1906","58"
"1907","15"
"1907","19"
"1907","24"
"1907","53"
"1907","58"
"1908","48"
"1909","58"
"1913","53"
"1913","58"
"1914","15"
"1914","19"
"1914","20"
"1914","23"
"1914","24"
"1914","27"
"1914","31"
"1914","37"
"1914","38"
"1916","15"
"1916","53"
"1917","48"
"1919","23"
"1919","38"
"1919","53"
"1926","51"
"1926","53"
"1927","20"
"1927","23"
"1927","24"
"1927","51"
"1927","53"
"1928","20"
"1928","24"
"1928","51"
"1930","20"
"1930","48"
"1930","51"
"1930","53"
"1932","53"
"1933","20"
"1933","53"
"1936","53"
"1938","20"
"1939","20"
"1939","23"
"1939","51"
"1939","53"
"1940","20"
"1940","23"
"1940","51"
"1940","53"
"1941","51"
"1943","20"
"1944","20"
"1944","53"
"1948","6"
"1948","14"
"1948","16"
"1948","28"
"1950","58"
"1951","102"
"1953","53"
"1954","102"
"1955","51"
"1955","53"
"1956","53"
"1957","51"
"1957","53"
"1958","51"
"1958","53"
"1961","35"
"1966","58"
"1969","51"
"1971","51"
"1971","53"
"1973","51"
"1975","51"
"1976","51"
"1976","143"
"1977","51"
"1978","51"
"1979","51"
"1980","51"
"1981","51"
"1981","58"
"1984","51"
"1984","58"
"1985","20"
"1985","51"
"1985","53"
"1985","58"
"1985","61"
"1985","62"
"1987","51"
"1987","53"
"1987","58"
"1988","51"
"1988","58"
"1990","48"
"1991","15"
"1992","62"
"1993","51"
"1993","196"
"1994","20"
"1994","51"
"1994","62"
"1995","51"
"1995","62"
"1997","51"
"1997","62"
"1998","51"
"1999","51"
"2001","50"
"2002","53"
"2002","58"
"2006","51"
"2006","58"
"2006","62"
"2007","51"
"2007","53"
"2007","58"
"2008","58"
"2010","15"
"2010","58"
"2012","51"
"2012","58"
"2013","51"
"2013","58"
"2013","62"
"2014","14"
"2014","23"
"2014","48"
"2014","51"
"2014","58"
"2014","62"
"2015","48"
"2015","51"
"2015","62"
"2016","51"
"2017","51"
"2017","62"
"2018","58"
"2018","62"
"2019","62"
"2022","62"
"2025","51"
"2026","62"
"2028","62"
"2030","48"
"2030","58"
"2030","62"
"2032","62"
"2033","59"
"2034","59"
"2035","59"
"2036","59"
"2036","60"
"2036","307"
"2037","59"
"2040","51"
"2040","59"
"2041","51"
"2041","62"
"2042","71"
"2043","71"
"2044","71"
"2045","71"
"2047","20"
"2047","23"
"2047","61"
"2047","62"
"2047","71"
"2048","45"
"2048","48"
"2049","20"
"2049","61"
"2049","62"
"2049","71"
"2050","51"
"2050","61"
"2050","62"
"2050","71"
"2051","59"
"2051","61"
"2051","62"
"2051","71"
"2052","20"
"2053","61"
"2053","73"
"2054","73"
"2057","61"
"2058","61"
"2058","62"
"2059","102"
"2060","61"
"2060","62"
"2061","61"
"2061","62"
"2062","62"
"2065","61"
"2065","62"
"2066","27"
"2066","37"
"2066","58"
"2066","69"
"2066","88"
"2068","62"
"2069","19"
"2069","45"
"2071","58"
"2072","62"
"2073","62"
"2076","62"
"2076","69"
"2077","71"
"2079","61"
"2079","62"
"2079","69"
"2080","51"
"2080","61"
"2083","20"
"2083","61"
"2084","61"
"2084","62"
