"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"1",""," "," "," "," ‘Books for the Young’","0"," <i>Christian Remembrancer </i>10  377-407"," (October 1845)",""
"2",""," "," "," "," ‘Castren’s <i>Travels among the Laps</i>’","0"," <i>Quarterly Review </i>94, 196-212"," (December 1853)",""
"3",""," "," "," "," ‘Christmas Books and Christmas Boxes’","0"," <i>Saturday Review </i>4  557-9"," (19 December 1857)",""
"4",""," "," "," "," ‘Periodicals’","0"," <i>The Literary Churchman</i>"," page 344"," (16 Sept 1859)"
"5",""," "," "," "," <i>An Object in Life</i> By the Author of <i>Sunlight in the Clouds</i>","0"," London: "," 1860"," This was serialized in <i>MP</i> from July 1857. When <i>Sunlight in the Clouds was </i>published in <i>MP</i> (1851) it was signed H. L. C., and it seems possible that the works published by ‘the Author of <i>Sunlight in the Clouds’</i> are by Harriet Lucy Cox."
"6",""," "," "," "," <i>Old Danish Ballads, Translated from Grimm’s</i> <i>collection by an Amateur</i>","0"," London: Hope"," 1856",""
"7",""," "," "," "," Review of William Wordsworth, <i>The Prelude</i>","0"," <i>The Christian Remembrancer </i>XX  332-73"," (October 1850)",""
"8",""," "," "," "," <i>Sunlight in the Clouds;  Some Providences in a Life-time;  The Shoemaker’s Daughters</i>","0"," London: Mozley"," 1852"," Another work entitled <i>Sunlight in the Clouds</i> is attributed by the <i>British Library Catalogue</i> to a Mrs Benson, but that seems to be a different book.  When <i>Sunlight in the Clouds was </i>published in <i>MP</i> (1851) it was signed H. L. C., and it seems possible that the works published by ‘the Author of <i>Sunlight in the Clouds’</i> are by Harriet Lucy Cox."
"9",""," "," "," "," <i>The Reign of Terror: A Collection of Authentic Narratives . . written by Eyewitnesses &c. during the years 1817, 1818, 1819, and 1820</i>","2"," London"," 1821-1822",""
"10","Abraham"," The Rev.","Charles John"," ","<i>The Unity of History</i>","0"," Eton: Williams"," 1845",""
"11","Alexander"," "," Cecil Frances"," "," <i>Hymns for Little Children</i>","0"," London: Masters","1848",""
"12","Alexander"," "," Cecil Frances"," "," <i>Moral Songs</i>","0"," London: Masters"," 1848",""
"13","Alexander"," "," Cecil Frances"," "," <i>Verses for Holy Seasons</i>","0"," Manchester: Rivington and Oxford: Parker"," 1846",""
"14","Awdry"," "," Frances"," "," <i>A Country Gentleman of the Nineteenth Century: Being a Short Memoir of the Right Honourable Sir William Heathcote, Bart., of Hursley 1801-1881</i>","0"," Winchester: Warren and London: Simpkin"," 1906","See also [[person:82]Frances Awdry]."
"15","Barbauld"," "," Anna Laetitia"," "," <i>Hymns in Prose for Children</i> ","0"," London: Johnson"," 1781",""
"16","Barber"," "," Mary Ann Serrett"," "," <i>Missionary Tales for Little Listeners</i>","0","  London: Nisbet","  1840",""
"17","Battiscombe"," "," Georgina"," ","<i>Charlotte Mary Yonge: The Story of an Uneventful Life</i>","0"," London: Constable"," 1943",""
"18","Bigg Wither"," "," R. F.","  ","<i>Materials for a History of the Bigg Wither Family</i>","0"," Winchester: Warren"," 1907"," "
"19","Blackburn"," "," Jemima"," and James Wilson"," <i>Illustrations of Scripture</i>. By an Animal Painter, with notes by a Naturalist","0"," Edinburgh: Constable"," 1855"," "
"20","Blakeway"," ","Alys"," ","‘Towards a study of Marianne Dyson’","0","Unpublished paper given to the Charlotte Yonge Society"," April 2002",""
