letterInfo_ID,post_ID,letter_date,letter_dbdate,manuscript_location,letter_fromAddress,letter_footnote
3386,3438,Jan 6th 1900,06/01/1900,"MS  West Sussex County Record Office/ Add. 16,944/6",Elderfield Otterbourne,"[[footnote:1]]Catherine Dorset, <i>The Peacock ‘At Home’: A Sequel to The Butterfly’s Ball</i> (London: Harris 1807).

[[footnote:2]]William Caldwell Roscoe, <i>The Butterfly’s Ball and the Grasshopper’s Feast</i>  (London: Harris 1807); Catherine Dorset, <i>The Lion\'s Masquerade: A Sequel to The Peacock at Home</i> (London: Harris 1808); W.B, <i>The Elephant’s Ball  and Grand Fete Champetre</i> (London: Harris 1807).

<br/>"
3387,3439,Jan 16 1900,16/01/1900,"MS Girton College Cambridge, Yonge XIV 3",Elderfield Otterbourne,
3388,3440,Jan 20th [1900],20/01/1900,"MS Girton College Cambridge, Yonge XIII 1[[footnote:1]]",Elderfield Otterbourne Winchester,"[[footnote:1]]Envelope addressed to ‘Mrs Belfield/Malmain/French hay /Bristol and postmarked Winchester 21 January 1900.

[[footnote:2]]The mittens had no doubt been sent to CMY in response to the account in [[cmybook:247]<i>John Keble\'s Parishes</i>] of the connection of the Cromwell and Major families with Hursley.
"
3389,3441,Feb 1st [1900],01/02/1900,MS British Library: Mary Gladstone Papers. Add MSS 46252: 6-7.,Elderfield Otterbourne,"[[footnote:1]]See the letter to Macmillan (3 March 1899).

[[footnote:2]]Rhoda Broughton. <i>Cometh up as a Flower: An Autobiography</i> (London: Richard Bentley 1867), notorious when it first came out for its discussion of sex;  the anecdote must have been recounted as a joke.

[[footnote:3]][[person:189]Reginald] and [[person:183]Cicely Bowles].
"
3390,3442,Feb 2d [1900],02/02/1900,MS Mrs Clare Roels/89,Elderfield,"[[footnote:1]]Coleridge annotates a reference to Rosina (14 May 1900) ‘her kitchen-maid, whom she was preparing for the [[other:211]G. F. S. Reading Union]’.  Rosina Dewsall (b. Lambeth 1881), a housemaid to Maurice Yonge at Elderfield in the 1901 census, is probably referred to here.  CMY\'s novel <i>The Dove in the Eagle\'s Nest</i> was one of the set texts for the Reading Union, and Coleridge may have suggested that the author\'s tuition gave Rosina an advantage.

<br/>"
3391,3443,Feb 3 1900,03/02/1900,MS Mrs Clare Roels/90,Elderfield,"[[footnote:1]]The hymn, whose authorship is disputed, begins ‘I often say my prayers/ But do I ever pray?’.  CMY also cites Keble’s opinion of this verse in [[cmybook:88]<i>Musings Over the Christian Year</i>], xvii (there attributed to Jane Taylor).

[[footnote:2]]The sense of this is that Maude Yonge, wife of CMY\'s nephew Maurice, also has a maid with an exotic name, Eugenie, whose boyfriend is fighting in the Boer War.  "
3392,3444,Feb 12th 1900,12/02/1900,"MS Girton College Cambridge, Yonge XIII 2[[footnote:1]]",Elderfield Otterbourne,"[[footnote:1]]Envelope addressed  ‘Mrs Belfield/Malmain/French hay /Bristol and postmarked Winchester 12 February 1900.

<br/>"
3393,3445,Feb 26 [1900],26/02/1900,MS Mrs Clare Roels/91,,
3394,3446,March 2 [1900],02/03/1900,MS Mrs Clare Roels/92,Elderfield ,"[[footnote:1]]The news of Cronje\'s surrender had caused these celebrations.

[[footnote:2]]Bridget Hildred Vere Awdry (7 November 1892-23 February 1900) was the daughter of the Rev Vere Awdry (1854-1928) and his second wife Mary Louisa Man (d.1908). ‘The boy’ was killed in 1914.  By his third wife the Rev. Vere Awdry was the father of the Rev. Wilbert Vere Awdry (1911-1997), the author of <i>Thomas the Tank Engine</i> (1946) and other works.



<br/>"
3396,3448,March 24 [1900],24/03/1900,MS West Devon Area Record Office,Elderfield,
