others_id,type,name,description
1,organization, Association for Promoting the General Welfare of the Blind,This charity was founded by Elizabeth Gilbert (1826–1885) in 1854.  Its archives are held by the London Metropolitan Archives. Mentioned 3 June 1863.
2,organization, Church of England Society for Providing Homes for Waifs and Strays," The Waifs and Strays' Society was founded in 1881 by Edward de Montjoie Rudolf (1852 -1933).  There is an interesting history at http://www.hiddenlives.org.uk/articles/history.html The organization survives as The Children’s Society, see http://www.childrenssociety.org.uk/ "
3,organization, Great Ormond Street Hospital,"  A children’s hospital was founded in Great Ormond Street in 1852.  Individuals and groups could sponsor beds for sick children.   See Nicholas Baldwin, ‘The History of GOSH: The Whole Story’ at http://www.ich.ucl.ac.uk/about_gosh/gosh_history/"
4,organization, Huggens College," This was an Anglican charity and almshouse, founded by John Huggens in 1844. Now Huggens College Retirement Community, it has a website at http://www.huggenscollege.org/"
5,organization," Keble College, Oxford","A college at Oxford opened in Keble’s memory, with the idea of widening and cheapening access to Oxford University, and bringing up a new generation of High Church clergymen.  CMY attended the opening ceremony of its new buildings in 1876.  For the college’s early and subsequent history see http://www.keble.ox.ac.uk/about/past/"
6,organization, Lady Margaret Hall,"  Founded as a hall for women students in 1879, with Elizabeth Wordsworth as its Lady Principal, it became a college of Oxford University in 1959. See www.lmh.ox.ac.uk"
7,organization, Newnham College," Founded as a hall for women students in 1871, and now a college of Cambridge University. There is a history by Gillian Sutherland on its website at http://www.newn.cam.ac.uk/about-newnham/College-History/History/content/History-of-the-college"
8,organization, Norwich Union Insurance Company," Founded in 1797, the firm is now part of Aviva, see www.aviva.co.uk"
9,organization, Orthopaedic Hospital," The Royal National Orthopaedic Hospital, originally called the Infirmary for the Cure of Club Foot and other Contractions, and later the Orthopaedic Institution, was founded in 1838 and opened at Bloomsbury Square in 1840.  Its archives are in London Metropolitan Archives. See http://www.rnoh.nhs.uk/about-the-rnoh/history-the-rnoh."
10,organization, Otterbourne Penny Club," Mentioned in letter no 42.  CMY mentions in <i>Old Times at Otterbourne</i>that a lending library for poor people was also run through the Penny Club with books originally given in memory of James Yonge by his grieving father the Rev. John Yonge: ‘In 1834 their father gave what made, as it were the second foundation of the Lending Library, for there were about four-and-twenty very serious books, given in Archdeacon Heathcote’s time, kept in the vestry at the old Church.  They looked as if they had been read but only by the elder people who liked a grave book, and there was nothing there meant for the young people.  So there were a good many new books bought, and weekly given out at the Penny Club, with more or less vigour, for the next thirty years or so.’  The Club was evidently still going in 1870, when Mary Yonge seems to have taken over her sister Anne’s subscription of 2/2."
11,organization, Sackville College,"  This is an almshouse in East Grinstead, founded in 1609, of which the Rev. Dr. John Mason Neale was Warden."
12,organization, Sandwell Home,"Founded in 1858 as Sandwell Hall Home for Widows and Orphans, Birmingham, by Laetitia Frances Selwyn (1807-1886), sister of the Rt. Rev. George Augustus Selwyn, it combined the functions of a convalescent home and an industrial school for the training of domestic servants. Gentlewomen of small means lived in the Home and took responsibility for the supervision of the inmates. Yonge introduced a proposal to establish a not dissimilar institution in the conclusion to <i>The Clever Woman of the Family</i>.  Selwyn is mentioned as training governesses (perhaps also in the Home?) and not letting them be paid less than £60 <i>p.a.</i> (23 March 1872).  The Home was in a large country house near Birmingham, donated by the Earl of Dartmouth. "
13,organization, St. Augustine’s College,"  This was a college for missionaries in Canterbury, founded in 1845, which survived until 1967. The Warden 1880-1902 was the Rev. G. M. Maclear. Its buildings are now occupied by the King’s School, Canterbury, and its archive is held by Canterbury Cathedral Archives."
14,organization, St. Hugh’s College,"  This was founded in 1886 as St. Hugh’s Hall, for women students who were too poor to afford Lady Margaret Hall.  Its first principal was Annie Moberly. It became a college of Oxford University in 1959.  Its website is www.st-hughs.ox.ac.uk"
15,organization, St. Stephen’s Native Girls School," On the history of this school see Joan C. Stanley, 'Kissling, Margaret 1808 - 1891'. <i>Dictionary of New Zealand Biography</i>, www.dnzb.govt.nz/  Mentioned in no 87. "
16,organization, Surgical Aid Society," The Royal Surgical Aid Society was founded in 1862 to provide the poor with artificial limbs, trusses, ear trumpets, leg irons and boots. With the institution of the NHS it began to run old people’s homes, and is now called AgeCare, see www.agecare.org.uk"
17,organization,"Belgrave Hospital for Children, The","This organisation, founded in Cumberland Street, Pimlico, in 1866, is referred to in <i>MP</i> (January 1871) and in a letter to an unknown woman (1 August ?1871). It moved to Kennington in the twentieth century, merged in 1948 with King\'s College Hospital, which retains its archives, and was closed in 1985."
18,organization,"British Institution, The"," The British Institution for Promoting the Fine Arts, which flourished 1805-1867, had exhibition galleries at  52 Pall Mall."
19,organization,"Church Missionary Society, The"," This was an important missionary society, founded in 1799,  whose supporters came from the Evangelical wing of the Church of England. 

Its archives 1799-1959 are held by the University of Birmingham and have been partly published on microfilm.  The organisation still exists and is called the Church Mission Society."
20,organization,"Community of St. John the Baptist, Clewer, The"," In 1849 the Clewer House of Mercy was founded in Windsor by Mariquita Tennant, as a refuge for repentant prostitutes.  In 1852 this work was taken on by Harriet Monsell and the Rev. Thomas Thellusson Carter, Rector of Clewer, who founded a group of Sisters of Mercy. 

The organisation still exists as an Anglican sisterhood, and its website is http://www.gjm61.dial.pipex.com/

 According to A.M. Allchin, <i>The Silent Rebellion: Anglican Religious Communities 1845-1900</i>. (London: SCM Press, 1958), it became \'one of the most characteristically Victorian and nineteenth-century of all the sisterhoods\' undertaking as its primary work the restoration of \'fallen women\'. "
21,organization,"Community of St. Mary the Virgin, Wantage, The"," This sisterhood was founded by the Rev. [[person:244]W. J. Butler] in 1848.  CMY became an Associate, as did many members of the Gosling Society. The community still exists and its website is http://orders.anglican.org/arcyb/csmv.html"
22,organization,"English Church Union, The","This organisation was founded in 1859 in protest at the government legislating on church matters.  It supported many of those accused of ritualism under the Public Worship Regulation Act (1874).  The organisation changed its name to the Church Union in 1933, and still exists as a High Church lobby group within the Church of England, currently (2009) resisting the arrival of women bishops. Some archives are held by Lambeth Palace Library. Its website is  http://www.churchunion.co.uk/"
23,organization,"Girls’ Friendly Society, The","This organization was founded by Mary Elizabeth Townsend in 1875, as a response to the forlorn condition of young women working away from home, usually as servants and shop assistants.  It established a network of diocesan societies, within which Associates  (ladies) provided support and facilities for Members (girls).  These were of very various kinds, including lodging, education, recreational facilities, convalescent homes, circulating libraries and employment bureaux. CMY was much involved in its work from its earliest years, and published a rare pamphlet, <i>THe Girls\' Friendly Society: A Short Account of its Working in the Diocese of Winchester to the end of the year 1878</i> (1879), a copy of which is MS Lambeth Palace Library Tait 268 ff224-9.  At that date the diocese had 3,057 members and CMY was in charge of the circulating library.  The tribulations of those trying to administer the organization were amusingly described by CMY in MP in 1882 \'A Conversation on the Girls\' Friendly Society\'. It ran <i>The Girls\' Friendly Society Associates\' Journal</i> for the Associates and <i>Friendly Leaves </i> for the Members.  CMY’s kitchen maid, Rosina Dewsall, took the exams of the Girls’ Friendly Society Reading Union. Its archive is held by the Women’s Library.  Brian Harrison, \'For Church, Queen and Family:  The Girls\' Friendly Society 1874-1920\' <i>Past and Present</i> 61 (1973) 107-138 is informative.  The charity still exists and its website is http://www.gfsplatform.org.uk/"
24,organization,"Guild of St. Alban, The",The Guild of St. Alban the Martyr was founded in 1851 by Shirley Fielding Palmer and still existed in 1960;   it consisted of male lay fellows who assisted clergy in social work;  it also had a sisterhood; some archives are in London Metropolitan Archives.
25,organization,"Hampshire Blind School, The","A report of its AGM in the <i>Hampshire Telegraph </i>(13 February  1897) speaks of the 33rd annual report, which would put its origin around 1864.  It seems to have been in Southsea."
26,organization,"Home for Incurable and Infirm Women, The"," Mentioned 26 April 1864.  This was run by [[person:1427]Louisa Twining], and operated from 21 Great Ormond Street.  Twining described its work in an article in <i>MP</i> (April 1864) 437-449;  and further in a letter <i>MP</i> (August 1869) 205-6.  The latter gives the number of inmates as 27.


Some correspondence of the Charity Organization Society with an outfit of this name, running a home for respectable women in reduced circumstances at Whetstone, is held by the London Metropolitan Archives. "
27,organization,"Institution for the Employment of Needlewomen, The",  This organization was the subject of articles in the <i>Englishwoman’s Journal</i> (1860) and the <i>MP</i> (August 1861).
28,organization," St. John’s College, Hurstpierpoint"," This was one of the Woodard schools, founded to provide good cheap education for the middle classes. Alice Coleridge lived there with her sister and brother-in-law, the Rev. Edward Clarke Lowe, headmaster 1850-73. The school’s website is http://www.hppc.co.uk/index.asp"
29,organization,"London Library, The","This private circulating library was founded in 1841 and has been in  St. James’s Square since 1845. CMY joined in the early 1860s.  It still exists, though it does not have records of books borrowed by nineteenth-century members; see http://www.londonlibrary.co.uk/aboutus/history.htm"
30,organization,"Melanesian Mission, The","This organization, originally the Melanesian Mission Fund, was founded in 1854 to purchase the <i>Southern Cross</i>. Its website today is www.melanesia.anglican.org/mmhome.html.  The British Museum holds an archive of photographs of the mission which it is putting online at www.britishmuseum.org in 2010.  CMY’s was deeply interested in missions, and she was especially devoted to the idea of evangelizing the South Seas.  She gave the mission the profits of her novel <i>[[person:24]The Daisy Chain]</i>, in which an episode takes place in Melanesia.  Her [[cmybook:102]biography] of Bishop Patteson brought her into contact with several members of the mission."
31,organization,"Mothers’ Union, The","This was founded by Mary Elizabeth Sumner in 1885.  CMY became the first editor of <i>Mothers in Council</i>, the journal aimed at the upper-class ladies who supported it."
32,organization,"National Society, The"," The National Society for Promoting the Education of the Poor in the Principles of the Established Church, now National Society, Church of England, for Promoting Religious Education.  This charity, which was enormously influential in the Victorian educational world, was founded in 1811, and started or  supported a very large number of Anglican schools for the working classes.  It also published textbooks and fiction, often used for school prizes, and CMY wrote many children’s books for them. See http://www.natsoc.org.uk/society/history/"
33,organization,"Orphans Home, Plymouth, The"," This was founded by Lydia Sellon in the 1840s as part of the wide-ranging programme of her sisterhood, the Devonport Sisters of Mercy, later the Society of the Most Holy Trinity."
34,organization,"Parents\' Educational Union, The"," This organization  (later the Parents\' National Education Union) was established in Bradford in 1887 by Charlotte Mason (1842-1923).  It was intended to encourage and support those educating their children at home, and prospers to the present day.  CMY deplored the fact that it was non-denominational."
35,organization,"Religious Tract Society, The",This was an evangelical charity founded in 1799 which published devotional works on a very large scale.  Although CMY did not write for it herself many of her friends did.  After mergers it is now known as the United Society for Christian Literature;  its archives are held by SOAS and have been published on microfilm.
36,organization,"Royal Hampshire Hospital, The",CMY refers (10 January 1872) to the publication of Edward Faithfull’s poems as likely to add to its funds.  Many of her friends were involved with fundraising for its construction and she herself was a subscriber.
