"post_id","others_id"
"1778","59"
"1778","99"
"1778","102"
"1779","99"
"1780","134"
"1780","141"
"1781","99"
"1781","142"
"1782","52"
"1782","62"
"1782","99"
"1783","143"
"1787","101"
"1788","52"
"1788","84"
"1788","108"
"1789","124"
"1790","52"
"1791","79"
"1792","81"
"1793","52"
"1793","75"
"1793","99"
"1794","52"
"1794","65"
"1794","144"
"1796","65"
"1796","142"
"1799","142"
"1800","52"
"1804","32"
"1804","40"
"1805","40"
"1807","52"
"1807","79"
"1809","49"
"1812","136"
"1813","52"
"1814","52"
"1815","36"
"1815","50"
"1816","146"
"1816","147"
"1817","36"
"1818","36"
"1819","104"
"1820","52"
"1821","106"
"1822","12"
"1822","52"
"1825","104"
"1827","24"
"1827","79"
"1827","124"
"1827","130"
"1827","148"
"1827","149"
"1828","29"
"1829","75"
"1832","99"
"1834","102"
"1834","130"
"1840","30"
"1841","62"
"1842","104"
"1843","62"
"1844","104"
"1848","151"
"1849","104"
"1850","104"
"1852","52"
"1853","104"
"1854","102"
"1855","148"
"1856","103"
"1857","104"
"1858","103"
"1858","104"
"1859","27"
"1860","81"
"1862","150"
"1865","52"
"1865","102"
"1867","104"
"1868","52"
"1868","81"
"1868","108"
"1869","102"
"1870","52"
"1870","103"
"1871","135"
"1872","81"
"1873","81"
"1877","52"
"1878","52"
"1878","73"
"1879","52"
"1879","73"
"1880","151"
"1881","52"
"1881","135"
"1882","104"
"1883","99"
"1883","102"
"1884","52"
"1884","135"
"1885","30"
"1891","1"
"1893","102"
"1895","50"
"1896","50"
"1897","50"
"1900","150"
"1901","95"
"1901","97"
"1901","99"
"1901","151"
"1906","152"
"1906","153"
"1907","52"
"1907","152"
"1907","153"
"1909","63"
"1911","69"
"1912","52"
"1913","63"
"1913","153"
"1913","159"
"1914","152"
"1914","153"
"1914","155"
"1915","52"
"1916","160"
"1916","161"
"1917","162"
"1919","163"
"1920","52"
"1921","89"
"1921","104"
"1922","52"
"1922","108"
"1923","69"
"1923","104"
"1924","66"
"1924","89"
"1924","104"
"1925","62"
"1925","69"
"1926","52"
"1926","153"
"1927","153"
"1930","164"
"1932","52"
"1934","69"
"1936","165"
"1937","102"
"1937","166"
"1939","160"
"1940","134"
"1940","160"
"1940","167"
"1941","19"
"1942","104"
"1943","167"
"1944","29"
"1944","167"
"1945","111"
"1945","168"
"1948","258"
"1949","26"
"1949","52"
"1951","30"
"1951","139"
"1952","151"
"1954","30"
"1954","42"
"1955","160"
"1955","169"
"1956","111"
"1958","69"
"1958","170"
"1965","151"
"1967","78"
"1969","29"
"1970","20"
"1970","39"
"1970","45"
"1971","99"
"1972","111"
"1974","52"
"1975","167"
"1976","167"
"1978","167"
"1979","167"
"1981","63"
"1981","142"
"1981","159"
"1981","171"
"1981","172"
"1982","142"
"1982","171"
"1982","172"
